sp_id,sp_name,avg_savings,,,,
401265,Graham Motor Company,2855,,,,
304204,Stockton Hyundai,2854,,,,
344941,Gretna Auto Outlet,2848,,,,
401587,Lupo Motors,2847.066667,,,,
276345,Desoto Auto Sales,2843,,,,
281904,Porsche Princeton,2829,,,,
311590,Bert Smith Porsche,2827.694444,,,,
66121,Ingram Park Nissan,2822,,,,
431889,Brothers Auto Sales,2820,,,,
336616,Eddie's Auto World,2818.375,,,,
275128,Select Auto Imports,2816.892473,,,,
280371,EC CARS,2816.5,,,,
55664,Corwin Ford Nampa,2816,,,,
288519,Columbia Chrysler Dodge Jeep RAM,2816,,,,
284911,Rackley Auto Group - Reno,2812.5,,,,
376938,Nationwide Motors,2812,,,,
280996,Smith Motor Company,2810,,,,
385120,Motor City USA,2809.515152,,,,
335706,Cole-Krum Chevrolet,2805,,,,
362262,Auto Boutique Chicago,2804.25,,,,
440094,Absolute Motors II,2800,,,,
363923,The Barn Miami,2798.210526,,,,
297560,Crystal Chrysler Dodge Jeep of Homosassa,2790.535714,,,,
399238,Crown Mercedes Benz Dublin,2789,,,,
438167,Imperial Highline,2788,,,,
438395,Alpha One Motors,2784.222222,,,,
187238,Auto Expo,2780.25641,,,,
349112,Jumbo Luxury Cars - Hollywood,2779.164179,,,,
435041,Club MotorCars,2778.941176,,,,
406677,TD Trucks,2777.277778,,,,
416640,Rhino Motors Group,2773.821429,,,,
351511,Samcar Inc,2773.333333,,,,
341436,RT Motors,2772.666667,,,,
61075,Mike Anderson Chrysler Dodge Jeep RAM Fiat of Marion,2768,,,,
344938,Utah Valley Autos,2768,,,,
402659,Motor Tex,2765.470588,,,,
337615,Car Dealz,2762.333333,,,,
408653,Randy Curnow Chrysler Dodge Jeep Ram,2760,,,,
339079,Euro Motorcars Bethesda,2756,,,,
310657,Porsche of Livermore,2755.836735,,,,
347868,AutoQuest,2755.666667,,,,
143754,Les Pinkham Lincoln,2755,,,,
279137,Phillips Auto,2752.436364,,,,
47469,Connell Chevrolet,2749.5,,,,
343946,A Luxury Autos,2748.8,,,,
53107,Ruddell Auto Mall,2748.166667,,,,
399399,SZ Motorcars,2747.596154,,,,
